April 2, 2023 at 11:05PM,Willy,PARKED_ACCORDING_TO_WEEK_SCHEDULE,Willy is parked and will start mowing on Monday at 9:00.
April 3, 2023 at 09:45AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 3, 2023 at 09:46AM,Willy,PARKED_UNTIL_FURTHER_NOTICE,Willy is parked until further notice.
April 3, 2023 at 09:46AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 3, 2023 at 09:50AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 3, 2023 at 09:58AM,Willy,MOWING_MISSION_AREA_OVERRIDING_SCHEDULE,Willy is mowing in Bas (poissons rouge) outside its set schedule.
April 3, 2023 at 10:00AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 3, 2023 at 10:46AM,Willy,CHARGING,Willy is charging and will start again in less than a minute.
April 3, 2023 at 11:06AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 3, 2023 at 11:09AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 3, 2023 at 11:20AM,Willy,LEAVING,Willy is on its way to cut your grass.
April 3, 2023 at 11:22AM,Willy,GOING_HOME,Willy is returning to its charging station.
April 3, 2023 at 11:34AM,Willy,ERROR,Willy can't operate as the work area is not valid.
April 6, 2023 at 04:04AM,Willy,DISCONNECTED,Willy has lost its connection. Either this is temporary and your mower will reconnect automatically or your mower has been switched off.
